R_bohr,E_HF_Ha,E_FCI_Ha,n_photon
1.0,-1.0719309945083704,-1.104074806237374,0.0
1.4,-1.1287877531746329,-1.1646077905882501,0.0
2.0,-1.0898041723300183,-1.1325883965567174,0.0
2.5,-1.0374087843605402,-1.0893064562243893,0.0
3.0,-0.9880152310666737,-1.0533436493977648,0.0
4.0,-0.9103795173122662,-1.0139005163183459,0.0
5.0,-0.8580493812821426,-1.002131363759216,0.0
